"Class Nbr","Subject","Catalog","Section","Description","Capacity","Total Enrolled","Available Seats","Total Waitlisted","In Shopping Cart","Unmet Demand","Class Start Time","Class End Time","Meeting Days","Facility ID","Instructor","Start Date","End Date"
3211,"ES",222,20,"Strength of Materials",104,103,1,0,0,0,"4:00PM","5:50PM","W","SC360","Kathleen A Issen","01/10/2019","04/26/2019"
2941,"ES",222,5,"Strength of Materials",48,24,24,0,4,0,"9:00AM","9:50AM","MWF","CB194","Arthur J. Michalek","01/10/2019","04/26/2019"
2590,"ES",222,1,"Strength of Materials",45,21,24,0,2,0,"1:00PM","1:50PM","MWF","ER102","Ajit Achuthan","01/10/2019","04/26/2019"
2940,"ES",220,3,"Statics",45,44,1,0,2,1,"4:00PM","5:15PM","TR","SC162","Philip Yuya","01/10/2019","04/26/2019"
2038,"ES",222,2,"Strength of Materials",51,51,0,0,8,8,"12:00PM","12:50PM","MWF","CB194","Kathleen A Issen","01/10/2019","04/26/2019"
3006,"ES",100,37,"Int to Eng Use of Computer",28,21,7,0,0,0,"8:00AM","9:15AM","R","CB179",,"01/10/2019","04/26/2019"
3005,"ES",100,36,"Int to Eng Use of Computer",28,25,3,0,0,0,"4:00PM","5:15PM","W","CB179",,"01/10/2019","04/26/2019"
3008,"ES",100,39,"Int to Eng Use of Computer",28,26,2,0,0,0,"11:00AM","12:15PM","R","CB179","Natalie Kurgan","01/10/2019","04/26/2019"
3007,"ES",100,38,"Int to Eng Use of Computer",28,23,5,0,0,0,"9:30AM","10:45AM","R","CB179","Behzad Behnia","01/10/2019","04/26/2019"
3003,"ES",100,34,"Int to Eng Use of Computer",28,19,9,0,0,0,"1:00PM","2:15PM","W","CB179",,"01/10/2019","04/26/2019"
3002,"ES",100,33,"Int to Eng Use of Computer",28,25,3,0,0,0,"11:00AM","12:15PM","W","CB179",,"01/10/2019","04/26/2019"
3004,"ES",100,35,"Int to Eng Use of Computer",28,19,9,0,0,0,"2:30PM","3:45PM","W","CB179",,"01/10/2019","04/26/2019"
4056,"ES",110,4,"Eng and Society",0,0,0,0,0,0,"4:00PM","5:15PM","TR","SNB10M",,"01/10/2019","04/26/2019"
3010,"ES",110,3,"Eng and Society",25,25,0,0,1,1,"2:30PM","3:45PM","TR","SNB10M","Elisabeth Alden Chapman","01/10/2019","04/26/2019"
2939,"ES",110,5,"Eng and Society",25,24,1,0,1,0,"9:30AM","10:45AM","TR","SC346","Elisabeth Maria Wultsch","01/10/2019","04/26/2019"
4055,"ES",110,1,"Eng and Society",0,0,0,0,0,0,"11:00AM","12:15PM","TR","SNB10M",,"01/10/2019","04/26/2019"
3009,"ES",100,40,"Int to Eng Use of Computer",20,20,0,0,0,0,"1:00PM","2:15PM","R","CB179",,"01/10/2019","04/26/2019"
2840,"ES",110,2,"Eng and Society",25,24,1,0,1,0,"1:00PM","2:15PM","TR","SNB10M","Elisabeth Alden Chapman","01/10/2019","04/26/2019"
2963,"EV",612,47,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Christopher Lawrence Bellona","01/10/2019","04/26/2019"
2729,"EV",612,44,"Thesis, Diss or Spec Proj",99,2,97,0,0,0,,,,,"Michael R Twiss","01/10/2019","04/26/2019"
2731,"EV",612,60,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Shane Rogers","01/10/2019","04/26/2019"
2730,"EV",612,58,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Stefan J Grimberg","01/10/2019","04/26/2019"
2726,"EV",612,31,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Susan E Powers","01/10/2019","04/26/2019"
2725,"EV",612,15,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Martin D Heintzelman","01/10/2019","04/26/2019"
2728,"EV",612,42,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
2727,"EV",612,32,"Thesis, Diss or Spec Proj",99,2,97,0,0,0,,,,,"Thomas M Holsen","01/10/2019","04/26/2019"
2735,"EV",612,84,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Evgeny Katz","01/10/2019","04/26/2019"
2734,"EV",612,80,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Michelle Crimi","01/10/2019","04/26/2019"
2737,"EV",612,94,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Philip K Hopke","01/10/2019","04/26/2019"
2736,"EV",612,93,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Alan Rossner","01/10/2019","04/26/2019"
3062,"EV",612,75,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Tyler Jon Smith","01/10/2019","04/26/2019"
2732,"EV",612,67,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Andrea R Ferro","01/10/2019","04/26/2019"
3273,"EV",612,77,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Lisa Suzanne Legault","01/10/2019","04/26/2019"
2733,"EV",612,76,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"James Scott Bonner","01/10/2019","04/26/2019"
3838,"EV",494,31,"Directed Research",1,0,1,0,0,0,,,,,"Susan E Powers","01/10/2019","04/26/2019"
2863,"EV",490,80,"Internship/Co-op",30,0,30,0,0,0,,,,,"Michelle Crimi","01/10/2019","04/26/2019"
3169,"EV",532,1,"Risk Analysis",35,39,-4,0,0,4,"8:00AM","9:15AM","TR","SC362","Alan Rossner","01/10/2019","04/26/2019"
3504,"EV",496,32,"Directed Research",30,0,30,0,0,0,,,,,"Alan Rossner","01/10/2019","04/26/2019"
3258,"EV",400,1,"ES Capstone",15,2,13,0,0,0,,,,,"Alan Rossner","01/10/2019","04/26/2019"
2884,"EV",390,1,"Sustainability Proj Experience",30,8,22,0,3,0,"5:00PM","5:50PM","M","TC208","Susan E Powers","01/10/2019","04/26/2019"
2862,"EV",490,32,"Internship/Co-op",30,0,30,0,0,0,,,,,"Alan Rossner","01/10/2019","04/26/2019"
2861,"EV",401,1,"Capstone Proj (continuation)",15,9,6,0,0,0,,,,,"Alan Rossner","01/10/2019","04/26/2019"
3041,"EV",612,4,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Stephen Douglas Bird","01/10/2019","04/26/2019"
3156,"EV",610,"D15","ISE Graduate Seminar",30,0,30,0,0,0,,,,"ONLINE","Martin D Heintzelman","01/10/2019","04/26/2019"
3269,"EV",612,103,"Thesis, Diss or Spec Proj",99,0,99,0,0,0,,,,,"Jong Kwon Choe","01/10/2019","04/26/2019"
4248,"EV",612,9,"Thesis, Diss or Spec Proj",99,1,98,0,0,0,,,,,"Taeyoung Kim","01/10/2019","04/26/2019"
3376,"EV",590,84,"Special Topics Env Sci & Eng",30,0,30,0,0,0,,,,,"Michelle Crimi","01/10/2019","04/26/2019"
4106,"EV",536,1,"Glbl Clmt Chng: Sci, Eng, Pol",50,46,4,1,0,0,"11:00AM","12:15PM","TR","SN214","Susan E Powers","01/10/2019","04/26/2019"
2724,"EV",610,15,"ISE Graduate Seminar",30,8,22,0,0,0,"12:00PM","12:50PM","W","SC344","Martin D Heintzelman","01/10/2019","04/26/2019"
3855,"EV",591,4,"Special Topics Env Pol & Gov",1,1,0,0,0,0,,,,,"Stephen Douglas Bird","01/10/2019","04/26/2019"
3986,"FILM",237,10,"The Horror Film",32,31,1,1,0,0,"6:00PM","8:30PM","M","SN169","Brian Russell Hauser","01/10/2019","04/26/2019"
3985,"FILM",237,1,"The Horror Film",32,31,1,1,9,9,"1:00PM","2:15PM","TR","SN129","Brian Russell Hauser","01/10/2019","04/26/2019"
3990,"FILM",326,1,"Feature Film Screenwriting",15,14,1,0,0,0,"2:30PM","3:45PM","TR","SN118","Brian Russell Hauser","01/10/2019","04/26/2019"
3991,"FILM",230,1,"Cinemas of Resistance",25,9,16,0,6,0,"1:00PM","1:50PM","MWF","SN169","Claudia Hoffmann","01/10/2019","04/26/2019"
3992,"FILM",230,10,"Cinemas of Resistance",25,9,16,0,0,0,"2:00PM","4:00PM","F","SN175","Claudia Hoffmann","01/10/2019","04/26/2019"
2698,"FN",470,1,"Strategic Financial Management",20,23,-3,0,0,3,"1:00PM","2:15PM","MW","SN175","Ryan T. Niles","01/10/2019","04/26/2019"
2880,"FN",468,1,"Financial Markets & Inst",30,11,19,0,0,0,"8:00AM","9:15AM","TR","SNB10M","Chad E Colbert","01/10/2019","04/26/2019"
2475,"FN",576,1,"Professional Fund Mgmt II",10,8,2,0,3,1,"6:00PM","8:45PM","T","SN118","Allan Arthur Zebedee","01/07/2019","04/26/2019"
2087,"FN",361,2,"Financial Management",54,40,14,0,7,0,"9:30AM","10:45AM","TR","SN214","Gasper Sekelj","01/10/2019","04/26/2019"
2044,"FN",361,1,"Financial Management",48,49,-1,0,5,6,"11:00AM","12:15PM","MW","SN212","Ryan T. Niles","01/10/2019","04/26/2019"
3612,"FN",462,1,"Investments",30,19,11,0,1,0,"9:30AM","10:45AM","TR","SNB10M","Allan Arthur Zebedee","01/10/2019","04/26/2019"
3919,"FRN",988,91,"Ind Study in French",30,0,30,0,0,0,"3:50PM","6:32PM","W",,,"01/10/2019","04/26/2019"
3728,"GEO",580,41,"MAT Project In Earth Science",30,14,16,0,0,0,"3:50PM","6:20PM","T","NT306","Richard C Lasselle","01/10/2019","04/26/2019"
4255,"HC",605,61,"Health Operations",1,1,0,0,0,0,,,,"ONLINE","Robert Steven Smith","01/07/2019","03/15/2019"
2609,"HIST",490,91,"Independent Study",99,0,99,0,0,0,,,,,"Stephen Trevor Casper","01/10/2019","04/26/2019"
2550,"HIST",490,83,"Independent Study",99,0,99,0,0,0,,,,,"Jennifer Lynne Ball","01/10/2019","04/26/2019"
2968,"HIST",498,91,"Undergraduate TA",30,0,30,0,0,0,,,,,"Stephen Trevor Casper","01/10/2019","04/26/2019"
2545,"HIST",490,21,"Independent Study",99,0,99,0,0,0,,,,,"Sarah C. Melville","01/10/2019","04/26/2019"
2653,"HIST",490,23,"Independent Study",99,1,98,0,0,0,,,,,"Laura E Ettinger","01/10/2019","04/26/2019"
3064,"HIST",499,23,"Minor Portfolio",30,1,29,0,0,0,,,,,"Laura E Ettinger","01/10/2019","04/26/2019"
3256,"HIST",499,21,"Minor Portfolio",30,1,29,0,0,0,,,,,"Sarah C. Melville","01/10/2019","04/26/2019"
3202,"HIST",499,83,"Minor Portfolio",30,1,29,0,0,0,,,,,"Jennifer Lynne Ball","01/10/2019","04/26/2019"
3902,"HIST",499,13,"Minor Portfolio",30,0,30,0,0,0,,,,,"Ellen C Caldwell","01/10/2019","04/26/2019"
3412,"HIST",499,16,"Minor Portfolio",30,0,30,0,0,0,,,,,"Sheila F Weiss","01/10/2019","04/26/2019"
3994,"HIST",280,1,"The Renaissance",30,12,18,0,3,0,"9:30AM","10:45AM","TR","SN129","Ellen C Caldwell","01/10/2019","04/26/2019"
3993,"HIST",270,1,"Intro to Society,Culture,&Bio",40,37,3,0,11,8,"1:00PM","1:50PM","MWF","SC166","Stephen Trevor Casper","01/10/2019","04/26/2019"
3995,"HIST",321,1,"Hist of Public Health in Amer",27,30,-3,2,3,8,"4:00PM","5:15PM","TR","SC166","Laura E Ettinger","01/10/2019","04/26/2019"
4060,"HIST",210,1,"The Ancient World",30,32,-2,0,3,5,"9:30AM","10:45AM","TR","SN169","Sarah C. Melville","01/10/2019","04/26/2019"
4062,"HIST",260,1,"The Soviet Union at War",37,37,0,0,7,7,"11:00AM","12:15PM","TR","CB175","Alastair Kocho Williams","01/10/2019","04/26/2019"
3997,"HIST",349,1,"Cold War Era, 1945-1991",37,38,-1,1,4,6,"8:00AM","9:15AM","TR","ER102","Alastair Kocho Williams","01/10/2019","04/26/2019"
2544,"HIST",490,13,"Independent Study",99,1,98,0,0,0,,,,,"Ellen C Caldwell","01/10/2019","04/26/2019"
3996,"HIST",329,1,"History of the American Family",25,25,0,0,9,9,"2:30PM","3:45PM","TR","SN129","Laura E Ettinger","01/10/2019","04/26/2019"
3998,"HIST",332,1,"Documenting Social Activism",20,13,7,0,1,0,"11:00AM","12:15PM","TR","SN127","Jennifer Lynne Ball","01/10/2019","04/26/2019"
3686,"HP",390,1,"Honors Undergraduate Thesis",48,30,18,0,1,0,"5:30PM","6:30PM","T","PR2001","Stephen Trevor Casper","01/10/2019","04/26/2019"
2046,"HP",400,1,"Honors SR Seminar on Modernity",25,22,3,0,1,0,"9:30AM","10:45AM","TR","PR2001","Jonathan D Goss","01/10/2019","04/26/2019"
2152,"HP",380,43,"Honors Independent Study",99,0,99,0,0,0,,,,,"Jonathan D Goss","01/10/2019","04/26/2019"
2573,"HP",480,43,"Honors Independent Study",99,0,99,0,0,0,,,,,"Jonathan D Goss","01/10/2019","04/26/2019"
3748,"HP",491,1,"Honors Undergraduate Thesis",30,6,24,0,0,0,,,,,"Jonathan D Goss","01/10/2019","04/26/2019"
2882,"HP",400,2,"Honors SR Seminar on Modernity",30,13,17,0,3,0,"11:00AM","12:15PM","TR","PR2001","Jonathan D Goss","01/10/2019","04/26/2019"
3326,"HP",101,2,"Soc & Ethcl Implicatns Res II",30,30,0,0,0,0,"9:00AM","9:50AM","MWF","PR2001","Christopher C Robinson","01/10/2019","04/26/2019"
2610,"HP",103,10,"Introduction to Programming II",57,51,6,0,1,0,"5:30PM","6:30PM","W","SN213","Christopher C Robinson","01/10/2019","04/26/2019"
2045,"HP",101,1,"Soc & Ethcl Implicatns Res II",30,29,1,0,2,1,"8:00AM","8:50AM","MWF","PR2001","Christopher C Robinson","01/10/2019","04/26/2019"
4209,"HP",201,2,"Honors Prob Seminar",25,0,25,0,2,0,"6:00PM","7:00PM","W","PR2001","Marshall G Issen","01/10/2019","04/26/2019"
2185,"HP",280,43,"Honors Independent Study",99,0,99,0,0,0,,,,,"Jonathan D Goss","01/10/2019","04/26/2019"
3133,"HP",201,1,"Honors Prob Seminar",48,41,7,0,3,0,"10:00AM","10:50AM","MWF","PR2001","Marshall G Issen","01/10/2019","04/26/2019"
4148,"HS",405,42,"Exp Learning Med & Healthcare",30,1,29,0,0,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
4149,"HS",405,78,"Exp Learning Med & Healthcare",30,3,27,0,0,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
3364,"HS",210,1,"Health Coaches II: Comm Health",30,16,14,0,1,0,"5:00PM","5:50PM","W","SN214","Damien Samways","01/10/2019","04/26/2019"
4147,"HS",220,1,"Medicine & Healthcare Seminar",30,30,0,0,1,1,"7:00PM","8:30PM","R","SN214","Damien Samways","01/10/2019","04/26/2019"
3178,"HSS",410,79,"H/SS Internship",30,1,29,0,1,0,,,,,"JoAnn L Rogers","01/10/2019","04/26/2019"
3687,"HSS",480,1,"Major Research Seminar",20,2,18,0,1,0,"12:00PM","12:50PM","MWF","SN169","Claudia Hoffmann","01/10/2019","04/26/2019"
3900,"HSS",410,36,"H/SS Internship",30,0,30,0,0,0,,,,,"Christina Vassiliki Xydias","01/10/2019","04/26/2019"
3648,"HST",580,41,"MAT Project In History",30,14,16,0,0,0,"3:50PM","6:20PM","T","NT306","Richard C Lasselle","01/10/2019","04/26/2019"
4220,"HST",575,41,"History and Multicultural Lit",15,10,5,0,0,0,"3:50PM","6:20PM","R","NT306","Patricia A. Rand","01/10/2019","04/26/2019"
2612,"HUM",490,61,"Independent Study",30,0,30,0,0,0,,,,,"William Vitek","01/10/2019","04/26/2019"
2613,"HUM",490,92,"Independent Study",30,0,30,0,0,0,,,,,"Jerry W Gravander","01/10/2019","04/26/2019"
3192,"HUM",490,23,"Independent Study",30,0,30,0,0,0,,,,,"Laura E Ettinger","01/10/2019","04/26/2019"
4235,"IA",626,"D1","Big Data Proc and Cloud Svcs",30,17,13,0,5,0,"7:00PM","8:30PM","T","ONLINE","Tyler J Conlon","01/10/2019","04/26/2019"
3260,"IA",628,1,"Intro to Big Data Architecture",25,7,18,0,4,0,"5:30PM","6:45PM","TR","SN241","Tyler J Conlon","01/10/2019","04/26/2019"
3782,"IA",605,"D1","Data Warehousing",25,19,6,0,1,0,"5:00PM","6:30PM","R","ONLINE","Boris Jukic","01/10/2019","04/26/2019"
4317,"IA",626,1,"Big Data Proc and Cloud Svcs",5,0,5,0,0,0,,,,,"Tyler J Conlon","01/10/2019","04/26/2019"
3768,"IA",651,1,"Applied Machine Learning",30,15,15,0,4,0,"7:00PM","8:15PM","MW","SN241","Daqing Hou","01/10/2019","04/26/2019"
3268,"IA",690,33,"Analytics Capstone Project",5,5,0,0,1,1,,,,,"Boris Jukic","01/10/2019","04/26/2019"
3162,"IA",630,1,"Modeling for Insight",25,19,6,0,1,0,"4:00PM","5:15PM","TR","SN169","Joseph D Skufca","01/10/2019","04/26/2019"
3160,"IA",650,1,"Data Mining",25,23,2,0,1,0,"5:30PM","6:45PM","MW","SN241","Sumona Mondal","01/10/2019","04/26/2019"
3400,"IA",503,"D1","Introduction to Programming",30,0,30,0,3,0,,,,"ONLINE","Tyler J Conlon","01/10/2019","04/26/2019"
3371,"IA",507,1,"Spreadsheet Analytics",28,8,20,0,0,0,"1:00PM","2:15PM","MW","SN104","William C. MacKinnon","01/10/2019","04/26/2019"
3398,"IA",501,"D1","Calculus",30,0,30,0,1,0,,,,"ONLINE","Joseph D Skufca","01/10/2019","04/26/2019"
3399,"IA",502,"D1","Probability and Statistics",30,0,30,0,3,0,,,,"ONLINE","Joseph D Skufca","01/10/2019","04/26/2019"
3502,"IA",530,"D1","Prob & Stats for Analytics",25,24,1,0,1,0,"5:30PM","7:00PM","T","ONLINE","Sumona Mondal","01/10/2019","04/26/2019"
3161,"IA",605,1,"Data Warehousing",20,21,-1,0,0,1,"8:00AM","9:15AM","MW","SN118","Boris Jukic","01/10/2019","04/26/2019"
4316,"IA",530,1,"Prob & Stats for Analytics",5,4,1,0,0,0,,,,,"Sumona Mondal","01/10/2019","04/26/2019"
2951,"IS",237,1,"Intro to App Development",30,15,15,0,2,0,"2:30PM","3:45PM","TR","CB194","Tyler J Conlon","01/10/2019","04/26/2019"
2048,"IS",415,1,"Data Warehousing for Analytics",33,14,19,0,0,0,"8:00AM","9:15AM","TR","SN175","Boris Jukic","01/10/2019","04/26/2019"
2047,"IS",211,3,"Intro to Enterprise Info Sys",30,37,-7,0,0,7,"2:30PM","3:45PM","MW","SN241","Jesse A Sherman","01/10/2019","04/26/2019"
2701,"IS",437,1,"Data Anal Proj: Plan, Dev, Ana",25,9,16,0,1,0,"4:00PM","5:15PM","MW","SN239","Tyler J Conlon","01/10/2019","04/26/2019"
2375,"IS",687,33,"Ind Proj in Information Syst",99,0,99,0,0,0,,,,,"Boris Jukic","01/07/2019","04/26/2019"
2049,"IS",428,1,"Info Sys for Supply Chain Mgmt",24,17,7,0,3,0,"9:30AM","10:45AM","TR","SN239","William C. MacKinnon","01/10/2019","04/26/2019"
2819,"IS",110,2,"Int to Bus Intel and Data Anal",35,13,22,0,1,0,"2:30PM","3:45PM","TR","SN241","William C. MacKinnon","01/10/2019","04/26/2019"
2750,"IS",200,1,"ERP Fundamentals",20,19,1,0,1,0,"8:00AM","9:15AM","MW","SN239","Jesse A Sherman","01/10/2019","04/26/2019"
2803,"IS",110,1,"Int to Bus Intel and Data Anal",25,26,-1,0,3,4,"1:00PM","2:15PM","TR","SN239","William C. MacKinnon","01/10/2019","04/26/2019"
2822,"IS",211,2,"Intro to Enterprise Info Sys",20,26,-6,0,2,8,"1:00PM","2:15PM","MW","SN239","Jesse A Sherman","01/10/2019","04/26/2019"
2699,"IS",211,1,"Intro to Enterprise Info Sys",30,39,-9,0,1,10,"11:00AM","12:15PM","MW","SN241","Jesse A Sherman","01/10/2019","04/26/2019"
3487,"IT",501,"D1","Software Systems",10,0,10,0,0,0,,,,"ONLINE","Alexis Maciel","01/10/2019","04/26/2019"
2050,"IT",501,1,"Software Systems",70,41,29,0,0,0,"2:30PM","3:45PM","TR","SC160","Alexis Maciel","01/10/2019","04/26/2019"
4125,"LANG",112,1,"Spanish Language and Culture",30,27,3,0,2,0,"8:00AM","9:15AM","TR","SN177","Joan Marie Trivilino","01/10/2019","04/26/2019"
3413,"LIT",490,58,"Independent Study",99,0,99,0,0,0,,,,,"Lisa Gena Propst","01/10/2019","04/26/2019"
2553,"LIT",499,13,"Minor Portfolio",99,0,99,0,0,0,,,,,"Ellen C Caldwell","01/10/2019","04/26/2019"
4001,"LIT",380,1,"Shakespeare's Game of Thrones",25,11,14,0,4,0,"11:00AM","12:15PM","TR","SN177","Ellen C Caldwell","01/10/2019","04/26/2019"
2543,"LIT",490,13,"Independent Study",99,0,99,0,0,0,,,,,"Ellen C Caldwell","01/10/2019","04/26/2019"
3414,"LIT",499,58,"Minor Portfolio",99,1,98,0,0,0,,,,,"Lisa Gena Propst","01/10/2019","04/26/2019"
3038,"LIT",499,82,"Minor Portfolio",99,0,99,0,0,0,,,,,"Michael N Garcia","01/10/2019","04/26/2019"
3362,"LIT",499,52,"Minor Portfolio",99,0,99,0,0,0,,,,,"Claudia Hoffmann","01/10/2019","04/26/2019"
3999,"LIT",225,1,"American Short Story",19,17,2,0,3,1,"11:00AM","12:15PM","TR","SN112","Michael N Garcia","01/10/2019","04/26/2019"
4116,"LIT",227,1,"Tales from the Tropics",25,23,2,0,3,1,"2:00PM","2:50PM","MWF","SN112","Elisabeth Wulandari","01/10/2019","04/26/2019"
4002,"LIT",222,1,"Philosophy for Life",40,37,3,0,4,1,"1:00PM","2:15PM","TR","ER102","Michael N Garcia","01/10/2019","04/26/2019"
4117,"LIT",262,1,"Women Acting Out",15,14,1,0,3,2,"10:00AM","10:50AM","MWF","SN175","Elisabeth Wulandari","01/10/2019","04/26/2019"
4114,"LIT",355,1,"Postcolonial Literature",20,9,11,0,1,0,"1:00PM","1:50PM","MWF","SC340","Lisa Gena Propst","01/10/2019","04/26/2019"
4000,"LIT",250,1,"World Literature",20,20,0,0,2,2,"3:00PM","3:50PM","MWF","SN118","Lisa Gena Propst","01/10/2019","04/26/2019"
2589,"LW",499,24,"Law Studies Minor Portfolio",30,2,28,0,0,0,,,,,"Christopher C Robinson","01/10/2019","04/26/2019"
4301,"LW",490,51,"Internship",99,1,98,0,0,0,,,,,"Joseph Ilario Andriano","01/10/2019","04/26/2019"
3254,"LW",499,51,"Law Studies Minor Portfolio",30,7,23,0,0,0,,,,,"Joseph Ilario Andriano","01/10/2019","04/26/2019"
3097,"LW",270,2,"Law and Society I",48,41,7,0,7,0,"2:30PM","3:45PM","MW","SN212","Joseph Ilario Andriano","01/10/2019","04/26/2019"
2051,"LW",270,1,"Law and Society I",76,62,14,0,12,0,"1:00PM","2:15PM","MW","SN213","Joseph Ilario Andriano","01/10/2019","04/26/2019"
4014,"LW",471,1,"Law and Society II",40,37,3,0,3,0,"2:30PM","3:45PM","TR","PR2001","Joseph Ilario Andriano","01/10/2019","04/26/2019"
2927,"MA",232,31,"Elementary Differential Eq",30,26,4,0,0,0,"4:00PM","4:50PM","T","SC348",,"01/10/2019","04/26/2019"
2529,"MA",232,24,"Elementary Differential Eq",25,8,17,0,0,0,"3:00PM","3:50PM","T","SC342","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
3181,"MA",232,33,"Elementary Differential Eq",30,29,1,1,0,0,"10:00AM","10:50AM","T","SC340",,"01/10/2019","04/26/2019"
2928,"MA",232,32,"Elementary Differential Eq",30,30,0,0,0,0,"12:00PM","12:50PM","T","SC386",,"01/10/2019","04/26/2019"
2283,"MA",232,21,"Elementary Differential Eq",25,8,17,0,0,0,"8:30AM","9:20AM","T","SC340","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2282,"MA",232,14,"Elementary Differential Eq",25,3,22,0,0,0,"2:00PM","2:50PM","T","SC344","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2528,"MA",232,23,"Elementary Differential Eq",25,25,0,0,0,0,"12:00PM","12:50PM","T","SC348","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2527,"MA",232,22,"Elementary Differential Eq",25,24,1,0,0,0,"10:00AM","10:50AM","T","SC348","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
3938,"MA",362,1,"Complex Analysis/Applications",30,8,22,0,1,0,"4:00PM","4:50PM","MWF","SC166","Guohui Song","01/10/2019","04/26/2019"
2246,"MA",339,1,"Applied Linear Algebra",100,93,7,0,6,0,"2:00PM","2:50PM","MWF","CB177","Indika Gayani Udagedara","01/10/2019","04/26/2019"
3822,"MA",401,105,"Directed Study in Mathematics",99,0,99,0,0,0,,,,,"Diana White","01/10/2019","04/26/2019"
2571,"MA",363,1,"Mathematical Modeling",30,30,0,4,3,7,"3:00PM","3:50PM","MWF","SC344","Diana White","01/10/2019","04/26/2019"
2744,"MA",330,1,"Adv Engineering Mathematics",90,66,24,0,6,0,"1:00PM","1:50PM","MWF","SC162","Prashant Athavale","01/10/2019","04/26/2019"
3937,"MA",314,1,"Number Theory and Applications",30,19,11,0,7,0,"9:00AM","9:50AM","MWF","SC342","Michael E Felland","01/10/2019","04/26/2019"
2245,"MA",331,1,"Fourier Series/Boundary Value",90,87,3,0,7,4,"10:00AM","10:50AM","MWF","SC362","Jonathan Martin","01/10/2019","04/26/2019"
2745,"MA",330,11,"Adv Engineering Mathematics",70,66,4,0,0,0,"3:00PM","3:50PM","T","SNB10L",,"01/10/2019","04/26/2019"
2313,"MA",231,24,"Calculus III",27,24,3,0,0,0,"1:00PM","1:50PM","R","SC354",,"01/10/2019","04/26/2019"
2311,"MA",231,23,"Calculus III",27,18,9,0,0,0,"12:00PM","12:50PM","R","SC354",,"01/10/2019","04/26/2019"
2523,"MA",231,32,"Calculus III",27,19,8,0,0,0,"11:00AM","11:50AM","R","SC348",,"01/10/2019","04/26/2019"
2408,"MA",231,31,"Calculus III",27,8,19,0,0,0,"8:00AM","8:50AM","R","SC340",,"01/10/2019","04/26/2019"
2312,"MA",231,14,"Calculus III",27,27,0,0,0,0,"3:00PM","3:50PM","R","SC354",,"01/10/2019","04/26/2019"
2310,"MA",231,13,"Calculus III",27,25,2,0,0,0,"2:00PM","2:50PM","R","SC354",,"01/10/2019","04/26/2019"
2309,"MA",231,22,"Calculus III",27,26,1,0,0,0,"10:00AM","10:50AM","R","SC354",,"01/10/2019","04/26/2019"
2307,"MA",231,21,"Calculus III",27,25,2,0,0,0,"9:00AM","9:50AM","R","SC354",,"01/10/2019","04/26/2019"
2258,"MA",232,11,"Elementary Differential Eq",25,15,10,0,0,0,"9:00AM","9:50AM","T","SC348","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2926,"MA",232,3,"Elementary Differential Eq",90,85,5,1,2,0,"8:00AM","8:50AM","MWF","SC160","Jonathan Martin","01/10/2019","04/26/2019"
2281,"MA",232,13,"Elementary Differential Eq",25,12,13,0,0,0,"1:00PM","1:50PM","T","SC344","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2280,"MA",232,12,"Elementary Differential Eq",25,22,3,0,0,0,"12:00PM","12:50PM","T","SC340","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2525,"MA",231,34,"Calculus III",27,5,22,0,0,0,"2:00PM","2:50PM","R","SC340",,"01/10/2019","04/26/2019"
2524,"MA",231,33,"Calculus III",27,6,21,0,0,0,"12:00PM","12:50PM","R","SC348",,"01/10/2019","04/26/2019"
2526,"MA",232,2,"Elementary Differential Eq",90,65,25,0,6,0,"12:00PM","12:50PM","MWF","SC362","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
2244,"MA",232,1,"Elementary Differential Eq",90,52,38,0,3,0,"1:00PM","1:50PM","MWF","CB177","Don Kumudu Mallawa Arachchi","01/10/2019","04/26/2019"
